ID_MUNICIP,year,Population,dengue,zika,chikungunya,microcephaly,live_births
260210,2017,47977.73826540157,3,0,0,0,563
260220,2013,38440.22005741317,1,0,0,0,474
260220,2014,38371.69130435263,11,0,0,0,479
260220,2015,38315.96020187355,240,0,0,2,496
260220,2016,38218.76386271852,1,0,117,1,392
260220,2017,38117.195061692575,0,0,0,0,482
260230,2013,37964.710144238314,34,0,0,0,607
260230,2014,37793.2165794488,21,0,0,0,611
260230,2015,37630.56396149774,36,0,0,0,602
260230,2016,37452.09817586212,7,0,45,1,601
260230,2017,37263.56250006567,9,0,0,0,627
260240,2013,9001.776441653881,0,0,0,0,178
260240,2014,8991.085055195363,0,0,0,0,179
260240,2015,8987.0862278235,0,0,0,0,203
260240,2016,8966.511180952653,0,0,0,0,161
260240,2017,8946.02877853705,0,0,0,0,176
260250,2013,7450.724312877013,18,0,0,0,125
260250,2014,7446.859093042993,9,0,0,0,112
260250,2015,7447.439849212087,43,0,0,2,90
260250,2016,7432.709499750136,2,0,5,0,82
260250,2017,7418.498260147251,1,0,0,0,83
260260,2013,48254.810851096125,16,0,0,0,744
260260,2014,48909.640404814025,2,0,0,0,702
260260,2015,49580.85561454908,114,0,0,3,672
260260,2016,50245.9106780831,15,0,11,1,607
260260,2017,50896.324362089465,202,0,0,1,676
260270,2013,12908.230761562601,2,0,0,0,189
260270,2014,12933.829707617577,1,0,0,0,185
260270,2015,12963.751211185976,22,0,0,0,215
260270,2016,12973.217792919897,0,0,20,0,175
260270,2017,12980.406070772575,0,0,1,0,174
260280,2013,55447.08292394752,12,0,0,0,852
260280,2014,56102.57958620999,5,0,0,0,879
260280,2015,56781.202827943634,574,0,0,0,903
260280,2016,57451.29672104918,462,0,0,1,834
260280,2017,58104.25050263686,3,0,3,0,858
260290,2013,197899.6440931799,405,0,0,0,3419
260290,2014,200777.7607173753,345,0,0,1,3158
260290,2015,203709.0699605451,2031,0,0,14,3313
260290,2016,206486.1032706994,1709,0,23,2,3024
260290,2017,209211.6253641487,591,0,51,1,3091
260300,2013,32703.186304147745,0,0,0,0,522
260300,2014,33043.48628841578,19,0,0,0,569
260300,2015,33391.41849433311,40,0,0,0,584
260300,2016,33733.68219016366,30,0,7,0,512
260300,2017,34062.73291365054,0,0,0,0,531
260310,2013,19530.041024217862,0,0,0,0,272
260310,2014,19625.22356059384,0,0,0,0,233
260310,2015,19727.656159828446,9,0,1,0,293
260310,2016,19817.73622274314,16,1,103,0,229
260310,2017,19905.68724196039,6,0,1,0,270
260320,2013,27813.777569382415,55,0,0,0,396
260320,2014,28006.92188197827,1,0,0,0,411
260320,2015,28211.00621332464,70,0,104,1,445
260320,2016,28393.337961893136,137,2,120,1,381
260320,2017,28568.43280239937,140,0,10,0,446
260330,2013,11238.873679983619,27,0,0,0,139
260330,2014,11195.453520310191,3,0,0,0,142
260330,2015,11160.044057023078,80,0,8,0,127
260330,2016,11097.183032802131,31,0,200,0,147
260330,2017,11035.51587848,4,0,0,0,136
260340,2013,5493.123420954669,0,0,0,0,104
260340,2014,5406.645836794912,1,0,0,0,83
260340,2015,5326.781718555319,0,0,0,1,97
260340,2016,5232.184153505302,5,0,16,0,89
260340,2017,5141.790228199738,1,0,0,0,107
260345,2013,150462.67556861186,4,0,0,0,2358
260345,2014,151367.03375968442,16,0,0,0,2482
260345,2015,152289.50565746654,2582,0,10,16,2484
260345,2016,153079.89318997707,591,0,293,2,2279
260345,2017,153823.9417869674,13,0,11,2,2237
260350,2013,17824.00024794457,1,0,0,1,240
260350,2014,17932.888788646866,1,0,0,0,201
260350,2015,18046.689353630558,9,0,13,0,196
260350,2016,18153.584115497182,7,0,134,0,224
260350,2017,18256.18397728249,1,0,2,0,226
260360,2013,8343.915054808213,0,0,0,0,102
260360,2014,8347.23110299776,0,0,0,0,131
260360,2015,8354.571080609125,24,0,0,2,108
260360,2016,8348.213000941676,29,0,47,0,106
260360,2017,8341.583084673597,0,0,0,0,113
260370,2013,24832.59164739791,9,0,0,0,400
260370,2014,24738.77720191449,0,0,0,0,370
260370,2015,24651.103723878776,23,0,0,0,386
260370,2016,24551.233281847308,28,0,26,0,346
260370,2017,24444.36968888914,0,0,0,0,360
260380,2013,19961.68722156127,4,0,0,0,302
260380,2014,19925.826874263003,0,0,0,0,289
260380,2015,19896.242476843436,2,0,0,0,278
260380,2016,19853.171240265678,11,0,0,1,287
260380,2017,19804.648363464486,1,0,0,0,234
260390,2013,19044.68225869615,0,0,0,0,267
260390,2014,19054.964059870137,6,0,0,0,284
260390,2015,19071.60736574904,194,0,1,1,294
260390,2016,19071.228945531017,251,0,997,0,257
260390,2017,19067.03930093471,2,0,0,1,269
260392,2013,12528.768781199818,4,0,0,0,292
260392,2014,12676.165812245772,7,0,0,0,305
260392,2015,12832.273005880903,9,0,0,0,291
260392,2016,12976.134218123661,5,0,43,0,279
260392,2017,13117.79363641742,0,0,0,0,267
260400,2013,79245.68393732466,17,0,0,0,1103
260400,2014,80130.34552859027,1,0,0,0,1103
260400,2015,81029.4273749179,58,0,30,6,1174
260400,2016,81894.0652653008,712,0,268,3,949
260400,2017,82734.77586453466,47,1,3,1,1081
260410,2013,340292.31816590193,173,0,0,2,5711
260410,2014,346333.80870470917,67,0,0,0,5738
260410,2015,352458.6462827658,660,0,31,23,5871
260410,2016,358634.38683358126,776,4,524,8,5085
260410,2017,364730.99113649596,223,0,183,0,5678
260415,2013,14068.588901340938,16,0,0,0,197
260415,2014,14066.641551080056,2,0,0,0,166
260415,2015,14071.839127734547,181,0,0,0,186
260415,2016,14059.258609732675,206,0,19,0,141
260415,2017,14045.994086348885,13,0,0,0,167
260420,2013,40635.55189331556,0,0,0,0,588
260420,2014,41263.264388967116,1,0,0,0,593
260420,2015,41903.071880467854,8,0,1,1,559
260420,2016,42549.7702280215,14,0,12,1,549
260420,2017,43183.67920433494,0,0,0,0,566
260430,2013,11305.347368333545,1,0,0,0,176
260430,2014,11403.016366609774,124,0,0,0,155
260430,2015,11509.528038380507,13,0,1,0,189
260430,2016,11591.45606277581,138,0,15,0,166
